symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2022-11-21,2022-10-31,1.39,USD
AA,Alcoa Corp,2023-01-18,2022-12-31,0.3634,USD
AACAY,AACAY,2022-11-11,2022-09-30,0.0277,USD
AACG,ATA Creativity Global,2022-11-08,2022-09-30,,CNY
AADI,Aadi Bioscience Inc,2022-11-09,2022-09-30,-0.766,USD
AAGIY,AAGIY,2022-11-30,2022-09-30,0,USD
AAGRY,AAGRY,2022-10-31,2022-09-30,0,USD
AAIC,Arlington Asset Investment Corp - Class A,2022-11-08,2022-09-30,0.0516,USD
AAIGF,AAIGF,2022-11-30,2022-09-30,0,USD
AAL,American Airlines Group Inc,2023-01-19,2022-12-31,0.2247,USD
AAMC,Altisource Asset Management Corp,2022-11-09,2022-09-30,,USD
AAME,Atlantic American Corp,2022-11-15,2022-09-30,,USD
AAOI,Applied Optoelectronics Inc,2022-11-09,2022-09-30,-0.2875,USD
AAON,AAON Inc,2022-11-03,2022-09-30,0.4333,USD
AAP,Advance Auto Parts Inc,2022-11-14,2022-09-30,3.34,USD
AAPL,Apple Inc,2023-01-26,2022-12-31,2.11,USD
AATC,Autoscope Technologies Corporation,2022-11-15,2022-09-30,0,USD
AAU,Almaden Minerals Ltd,2022-11-10,2022-09-30,-0.013,CAD
AAWH,AAWH,2022-11-10,2022-09-30,-0.0233,USD
AAWW,Atlas Air Worldwide Holdings Inc,2022-11-02,2022-09-30,4.31,USD
ABBRF,ABBRF,2022-12-02,2022-09-30,0,USD
ABBV,Abbvie Inc,2023-01-27,2022-12-31,3.75,USD
ABC,Amerisource Bergen Corp,2022-11-03,2022-09-30,2.57,USD
ABCAF,ABCAF,2022-11-28,2022-09-30,,USD
ABCB,Ameris Bancorp,2023-01-26,2022-12-31,1.34,USD
ABCL,AbCellera Biologics Inc,2022-11-08,2022-09-30,-0.0013,USD
ABCM,Abcam,2022-11-30,2022-09-30,0,GBP
ABCP,ABCP,2022-11-15,2022-09-30,,USD
ABEO,Abeona Therapeutics Inc,2022-11-14,2022-09-30,-1.36,USD
ABILF,ABILF,2022-11-15,2022-09-30,0,USD
ABIO,ARCA biopharma Inc,2022-11-09,2022-09-30,,USD
ABM,ABM Industries Inc,2022-12-14,2022-10-31,0.8871,USD
ABMC,ABMC,2022-11-17,2022-09-30,0,USD
ABML,ABML,2022-11-30,2022-09-30,0,USD
ABNB,Airbnb Inc - Class A,2022-11-03,2022-09-30,1.44,USD
ABOS,Acumen Pharmaceuticals Inc,2022-11-14,2022-09-30,-0.2596,USD
ABSI,Absci Corp,2022-11-08,2022-09-30,-0.288,USD
ABSSF,ABSSF,2022-11-08,2022-09-30,,USD
ABST,Absolute Software Corporation,2022-11-14,2022-09-30,-0.085,USD
ABT,Abbott Laboratories,2023-01-25,2022-12-31,0.9691,USD
ABTX,Allegiance Bancshares Inc,2023-01-26,2022-12-31,0.8267,USD
ABUS,Arbutus Biopharma Corp,2022-11-03,2022-09-30,-0.136,USD
ABVC,ABVC BioPharma Inc,2022-11-14,2022-09-30,-0.125,USD
AC,Associated Capital Group Inc - Class A,2022-11-03,2022-09-30,,USD
ACA,Arcosa Inc,2022-11-02,2022-09-30,0.625,USD
ACAD,Acadia Pharmaceuticals Inc,2022-11-07,2022-09-30,-0.1825,USD
ACB,Aurora Cannabis Inc,2022-11-14,2022-09-30,-0.0969,CAD
ACBI,ACBI,2023-01-23,2022-12-31,,USD
ACCD,Accolade Inc,2023-01-10,2022-11-30,-0.6139,USD
ACCFF,ACCFF,2022-11-02,2022-09-30,,CAD
ACCO,Acco Brands Corporation,2022-11-01,2022-09-30,0.4008,USD
ACEL,Accel Entertainment Inc - Class A1,2022-11-29,2022-09-30,0.2474,USD
ACER,Acer Therapeutics Inc,2022-11-16,2022-09-30,-0.75,USD
ACET,Adicet Bio Inc,2022-11-10,2022-09-30,-0.5259,USD
ACFN,ACFN,2022-11-17,2022-09-30,,USD
ACHL,Achilles Therapeutics Plc,2022-11-08,2022-09-30,-0.59,USD
ACHR,Archer Aviation Inc - Class A,2022-11-10,2022-09-30,-0.33,USD
ACHV,Achieve Life Sciences Inc,2022-11-09,2022-09-30,-1.12,USD
ACI,Albertsons Companies Inc - Class A,2023-01-10,2022-11-30,0.6465,USD
ACIU,AC Immune SA,2022-11-17,2022-09-30,-0.23,CHF
ACIW,ACI Worldwide Inc,2022-11-10,2022-09-30,0.076,USD
ACLS,Axcelis Technologies Inc,2022-11-03,2022-09-30,1.15,USD
ACLX,Arcellx Inc,2022-11-30,2022-09-30,-0.938,USD
ACM,AECOM,2022-11-14,2022-09-30,0.8735,USD
ACMR,ACM Research Inc - Class A,2022-11-09,2022-09-30,0.2226,USD
ACMTA,ACMTA,2022-11-15,2022-09-30,,USD
ACN,Accenture plc - Class A,2022-12-16,2022-11-30,2.95,USD
ACNB,ACNB Corp,2023-01-25,2022-12-31,,USD
ACNT,Ascent Industries Company,2022-11-08,2022-09-30,,USD
ACON,Aclarion Inc,2022-11-30,2022-09-30,-0.12,USD
ACOR,Acorda Therapeutics Inc,2022-11-08,2022-09-30,-0.1,USD
ACR,ACRES Commercial Realty Corp,2022-11-02,2022-09-30,0.345,USD
ACRE,Ares Commercial Real Estate Corp,2022-11-02,2022-09-30,0.3696,USD
ACRHF,ACRHF,2022-11-07,2022-09-30,,USD
ACRS,Aclaris Therapeutics Inc,2022-11-08,2022-09-30,-0.3914,USD
ACRX,Acelrx Pharmaceuticals Inc,2022-11-10,2022-09-30,-0.065,USD
